"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets Received","Likes Received","Tweet Location","Tweet Language","User Id",Name,Username,"User Bio","Verified or Non-Verified","Profile URL","User Followers","User Following","User Account Creation Date"
"""1372372938138161158""",https://twitter.com/loveDBZ55/status/1372372938138161158,"18-Mar-2021 02:23:00","""RT @pizzamannick: We found the gold 😮 

#Pizza #PizzaMan #PizzaManNick #PizzaAcrobatics #fyp #comedy #greenscreen #saintpatricksday #greend…""",ReTweet,"""Twitter for iPhone""",3,0,,English,"""2345666988""",loveDBZ,loveDBZ55,"""Genderfluid (mainly she/her pronouns)/20/English major/ Scorpio (I have no idea how to bio)""",Non-Verified,https://twitter.com/loveDBZ55,12,122,"15-Feb-2014 20:03:35"
"""1372371721064480768""",https://twitter.com/THEdotBest/status/1372371721064480768,"18-Mar-2021 02:18:10","""Piccolo buco pizzeria con cucina https://t.co/lp2lQk3se9 #Best #gourmet #roma #pizza #trevi #fountain #roman #dough #rome #piccolo #buco #pizzeria #cucina #restaurant""",Tweet,"""Twitter for iPhone""",0,0,"Los Angeles, CA",Italian,"""1112875661138579456""","Best Social Media",THEdotBest,"""🌐 What's Best Today ? 
📌 #Discover, #Post, #Pin & #Win the #Best ! 
📱 #App Download : https://t.co/WM9vLyibUK""",Non-Verified,https://twitter.com/THEdotBest,46,45,"02-Apr-2019 00:33:28"
"""1372371694988505088""",https://twitter.com/BestTLD/status/1372371694988505088,"18-Mar-2021 02:18:04","""Piccolo buco pizzeria con cucina https://t.co/UNs2s88SCN #Best #gourmet #roma #pizza #trevi #fountain #roman #dough #rome #piccolo #buco #pizzeria #cucina #restaurant""",Tweet,"""Twitter for iPhone""",0,0,,Italian,"""2300501173""","•Best Domains",BestTLD,"""🌐 Get your .Best #Domain : https://t.co/NjTgDExVIa 🚀 #Boost your #Business 👍 Improve your #Reputation 📱 Join the #Best #SocialMedia : https://t.co/zhsv3M8KFQ""",Non-Verified,https://twitter.com/BestTLD,3112,4612,"20-Jan-2014 00:01:03"
"""1372371275939713025""",https://twitter.com/ChoppPizzaria/status/1372371275939713025,"18-Mar-2021 02:16:24","""Ligue e faça já o seu pedido 📲 99049-0837.

Aceitamos cartões 💳💳

Fazemos Entregas 🛵

#bebidas #mandela #pizza #entrega #delivery #precobaixo #emcasa #petiscos #pizzaria #frangoapassarinho #brahma #imperiogold #corona #heineken #frangocombatata #antartica #entregamos https://t.co/IImF2EYnoK""",Tweet,"""Twitter for Android""",0,0,,Portuguese,"""1183469757485539331""","Pizzaria Central Do Chopp",ChoppPizzaria,"""Estamos localizados na entrada do Mandela 2. 
Lembrando que temos transmissão ao vivo de todos os jogos do Flamengo. Venha nos fazer uma visita.""",Non-Verified,https://twitter.com/ChoppPizzaria,196,106,"13-Oct-2019 19:54:04"
"""1372369615448383489""",https://twitter.com/MrBananaTweets/status/1372369615448383489,"18-Mar-2021 02:09:48","""RT @Banana_Joeyy: @Buteras_Pizza #HappyStPatricksDay happy #pizza day!""",ReTweet,"""Proliferation""",0,0,,English,"""1229167678591504388""","Mr. Banana",MrBananaTweets,"""Banana 🍌""",Non-Verified,https://twitter.com/MrBananaTweets,441,1,"16-Feb-2020 22:16:56"
"""1372368852957429761""",https://twitter.com/Chilhon2016Lap/status/1372368852957429761,"18-Mar-2021 02:06:46","""RT @sigridinvain: 🚨 ATTENTION 🚨

We just sent a pizza to Sigrid's house and we take this picture to register the moment. Now you can releas…""",ReTweet,"""Twitter for iPhone""",5,0,"Maryland, USA",English,"""719690726641164288""","Chi Hon 韓志",Chilhon2016Lap,"""Covid: New definition of awesome? when corona: ... walking without —-! That special rt !! aliens vs x-... supermanandroid ( rip""",Non-Verified,https://twitter.com/Chilhon2016Lap,3596,5002,"12-Apr-2016 00:56:55"
"""1372367281821421568""",https://twitter.com/Skeletal77/status/1372367281821421568,"18-Mar-2021 02:00:31","""RT @KnotsLittle: Best lunch homemade pizza. What y’all having? #pizza #yummy #gamer #gamergirl #foodie #homemade #streamer https://t.co/DSN…""",ReTweet,"""Twitter for Android""",1,0,,English,"""896167454287818752""",Skelly,Skeletal77,"""I play games and I post random shit""",Non-Verified,https://twitter.com/Skeletal77,29,43,"12-Aug-2017 00:32:25"
"""1372367230499979264""",https://twitter.com/iampaigeb/status/1372367230499979264,"18-Mar-2021 02:00:19","""My Wednesday #tradition
 #pizza and #rootbeer for #ChicagoPD. Lets bring it. @jesseleesoffer @NBCChicagoPD https://t.co/P6egXTmReB""",Tweet,"""Twitter for Android""",0,0,,English,"""1305813000""","Paige B",iampaigeb,"""An aspiring actor who currently works in theatre but one day, film. Also does photography here and there.  Have an #adventure like #Bilbo.""",Non-Verified,https://twitter.com/iampaigeb,918,936,"26-Mar-2013 22:47:21"
"""1372367228612571146""",https://twitter.com/Skipthedishesc1/status/1372367228612571146,"18-Mar-2021 02:00:19","""$7 Off Your First Order with my Skip The Dishes referral link:
.
 https://t.co/F725Xg5nQe 
.
#lunch #Lunchtime #brunch #dinner #breakfast  #coupon #couponcode #coupons #skipthedishes #canada #pizza #fries March 17, 2021 at 10:00PM

https://t.co/fOiHJgFdSD""",Tweet,"""IFTTT""",0,0,,English,"""1164691312496525312""",Skipthedishescoupon,Skipthedishesc1,"""sign up with my link on skipthedishes for 7$ off on first order : 
https://t.co/ISBsBo8fau""",Non-Verified,https://twitter.com/Skipthedishesc1,3,3,"23-Aug-2019 00:10:32"
"""1372367047410208772""",https://twitter.com/Darkrumwithcoke/status/1372367047410208772,"18-Mar-2021 01:59:36","""@SirLARIATO it's hot garage across the world, however in #Canada @PizzaPizzaLtd is the worst as the box is more appetizing than the Pizza in it. Best pizza in my town comes from a family diner. Best #pizza in the country is @thewheelpizza in #antigonish #NovaScotia""",Reply,"""Twitter for Android""",0,0,"Rick's Place",English,"""418297429""","Dark Rum with Coke",Darkrumwithcoke,"""Early 40's male overflowing with sarcastic wisdom &  dark humour. A junkie of politics, wrestling  and history with an overwhelming sense of Canadian pride.""",Non-Verified,https://twitter.com/Darkrumwithcoke,94,335,"22-Nov-2011 00:38:15"
